Number,Name,Address,Latitude,Longitude
2504,Maricopa Agricultural Center,37860 W Smith-Enke Rd,33.073553,-111.9737187
2510,Maricopa Agricultural Center,37860 W Smith-Enke Rd,33.073553,-111.9737187
2511,Maricopa Agricultural Center,37860 W Smith-Enke Rd,33.073553,-111.9737187
2512,Maricopa Agricultural Center,37860 W Smith-Enke Rd,33.073553,-111.9737187
2513,Maricopa Agricultural Center,37860 W Smith-Enke Rd,33.073553,-111.9737187
2514,Maricopa Agricultural Center,37860 W Smith-Enke Rd,33.073553,-111.9737187
2515,Maricopa Agricultural Center,37860 W Smith-Enke Rd,33.073553,-111.9737187
2516,Maricopa Agricultural Center,37860 W Smith-Enke Rd,33.073553,-111.9737187
2516A,Maricopa Agricultural Center,37860 W Smith-Enke Rd,33.073553,-111.9737187
2517,Maricopa Agricultural Center,37860 W Smith-Enke Rd,33.073553,-111.9737187
2518,Maricopa Agricultural Center,37860 W Smith-Enke Rd,33.073553,-111.9737187
2519,Maricopa Agricultural Center,37860 W Smith-Enke Rd,33.073553,-111.9737187
2520,Maricopa Agricultural Center,37860 W Smith-Enke Rd,33.073553,-111.9737187
2521,Maricopa Agricultural Center,37860 W Smith-Enke Rd,33.073553,-111.9737187
2522,Maricopa Agricultural Center,37860 W Smith-Enke Rd,33.073553,-111.9737187
2523,Maricopa Agricultural Center,37860 W Smith-Enke Rd,33.073553,-111.9737187
2524,Maricopa Agricultural Center,37860 W Smith-Enke Rd,33.073553,-111.9737187
2530,Maricopa Agricultural Center,37860 W Smith-Enke Rd,33.073553,-111.9737187
2531,Maricopa Agricultural Center,37860 W Smith-Enke Rd,33.073553,-111.9737187
2531A,Maricopa Agricultural Center,37860 W Smith-Enke Rd,33.073553,-111.9737187
2535,Maricopa Agricultural Center,37860 W Smith-Enke Rd,33.073553,-111.9737187
2536,Maricopa Agricultural Center,37860 W Smith-Enke Rd,33.073553,-111.9737187
2537,Maricopa Agricultural Center,37860 W Smith-Enke Rd,33.073553,-111.9737187
2538,Maricopa Agricultural Center,37860 W Smith-Enke Rd,33.073553,-111.9737187
2539,Maricopa Agricultural Center,37860 W Smith-Enke Rd,33.073553,-111.9737187
2543,Maricopa Agricultural Center,37860 W Smith-Enke Rd,33.073553,-111.9737187
2705,Safford Farm,2134 S Montierth Ln,32.8149226,-109.6808776
2705A,Safford Farm,2134 S Montierth Ln,32.8149226,-109.6808776
2707,Safford Farm,2134 S Montierth Ln,32.8149226,-109.6808776
2708,Safford Farm,2134 S Montierth Ln,32.8149226,-109.6808776
2709,Safford Farm,2134 S Montierth Ln,32.8149226,-109.6808776
2710,Safford Farm,2134 S Montierth Ln,32.8149226,-109.6808776
2716,Safford Farm,2134 S Montierth Ln,32.8149226,-109.6808776
2717,Safford Farm - Utility Education Building,2134 S Montierth Ln,32.8149226,-109.6808776
2740,1480 W Swift Tr/Base Camp,1480 W State Route 366,32.2539787,-110.9741769
2750,Marana KUAT Transmitter,9100 N I-10 Wb Frontage Rd,32.1501964,-110.8972065
2902,Yuma Valley Farm,6425 W 8 St,32.1778614,-110.8768466
2903,Yuma Valley Farm,6425 W 8 St,32.1778614,-110.8768466
2905,Yuma Valley Farm,6425 W 8 St,32.1778614,-110.8768466
2906,Yuma Valley Farm,6425 W 8 St,32.1778614,-110.8768466
2911,Yuma Valley Farm,6425 W 8 St,32.1778614,-110.8768466
2915,Yuma Valley Farm,6425 W 8 St,32.1778614,-110.8768466
2918,Yuma Valley Farm,6425 W 8 St,32.1778614,-110.8768466
2919,Yuma Valley Farm,6425 W 8 St,32.1778614,-110.8768466
2925,Yuma Valley Farm,6425 W 8 St,32.1778614,-110.8768466
2926,Yuma Valley Farm,6425 W 8 St,32.1778614,-110.8768466
2927,Yuma Valley Farm,6425 W 8 St,32.1778614,-110.8768466
2929,Yuma Valley Farm,6425 W 8 St,32.1778614,-110.8768466
2930,Yuma Valley Farm,6425 W 8 St,32.1778614,-110.8768466
2931,Yuma Valley Farm,6425 W 8 St,32.1778614,-110.8768466
2933,Glen G Curtis Bldg,6425 W 8 St,32.1778614,-110.8768466
2934,Yuma Valley Farm Machine Shop,6425 W 8 St,32.1778614,-110.8768466
2935,Yuma Valley Farm Greenhouse,6425 W 8 St,32.1778614,-110.8768466
2936,Yuma Valley Farm Greenhouse,6425 W 8 St,32.1778614,-110.8768466
2937,Yuma Valley Farm Shop,6425 W 8 St,32.1778614,-110.8768466
2985,Yuma Valley Farm,6425 W 8 St,32.1778614,-110.8768466
3001,Arizona Biomedical Collaborative (ABC Building),425 N 5 St,32.2274612,-110.9676022
3002,UA College Of Medicine-Phoenix (Administration),550 E Van Buren,32.2175194,-110.8708295
3002A,UA College Of Medicine-Phoenix (Auditorium),600 E Van Buren,32.2539787,-110.9741769
3002B,UA College Of Medicine-Phoenix (Student Bldg),650 E Van Buren,32.2539787,-110.9741769
3004,Health Sciences Education Building,435 N 5 St,32.2275071,-110.9676029
3005,Arizona Cancer Center - Phoenix,625 N 6th St,32.2297175,-110.9690535
3006,Biomedical Sciences Partnership Building - Phoenix,475 N 5th St,32.2276425,-110.9676048
3007,University Of Arizona Phoenix Plaza,714 E Van Buren,32.2539787,-110.9741769
3103,Campus Farm South - Greenhouse,2100 E Allen,32.2749827,-110.9400589
3104,Crop Improvement,2100 E Allen,32.2749827,-110.9400589
3105,Dairy Supervisor Residence,2100 E Allen,32.2749827,-110.9400589
3118,Campus Farm South,2100 E Allen,32.2749827,-110.9400589
3120,Campus Farm South - North Seed House,2100 E Allen,32.2749827,-110.9400589
3138,Campus Farm South - South Seed House,2100 E Allen,32.2749827,-110.9400589
3139,Entomology,2100 E Allen,32.2749827,-110.9400589
3139B,Campus Farm South,2100 E Allen,32.2749827,-110.9400589
3139C,Campus Farm South,2100 E Allen,32.2749827,-110.9400589
3139D,Campus Farm South,2100 E Allen,32.2749827,-110.9400589
3139G,Entomology,2100 E Allen,32.2749827,-110.9400589
3139J,Entomology,2100 E Allen,32.2749827,-110.9400589
3140,Earml South Entomology,2100 E Allen,32.2749827,-110.9400589
3142,Entomology,2100 E Allen,32.2749827,-110.9400589
3175,Dairy,2100 E Allen,32.2749827,-110.9400589
3183,Campus Farm South - Greenhouse,2100 E Allen,32.2749827,-110.9400589
3184,Campus Farm South - Greenhouse,2100 E Allen,32.2749827,-110.9400589
3186,Campus Farm South - Greenhouse,2100 E Allen,32.2749827,-110.9400589
3188,Campus Farm South - Greenhouse,2100 E Allen,32.2749827,-110.9400589
3190,Campus Farm South - Dairy Shop,2100 E Allen,32.2749827,-110.9400589
3191,Campus Farm South - Warehouse,2100 E Allen,32.2749827,-110.9400589
3192,Campus Farm South - Greenhouse,2100 E Allen,32.2749827,-110.9400589
3193,Campus Farm South - Greenhouse,2100 E Allen,32.2749827,-110.9400589
3196,Campus Farm South - Greenhouse HQ,2100 E Allen,32.2749827,-110.9400589
3197,Campus Farm South - Shadehouse,2100 E Allen,32.2749827,-110.9400589
3198,Campus Farm South - Greenhouse,2100 E Allen,32.2749827,-110.9400589
3201,WEST,2959 W Calle Agua Nueva,32.2894291,-111.0313094
3301,Sunnyside - Shop/Records Mgmt,250 E Valencia,32.1337054,-110.96342
3302,Sunnyside - Storage,250 E Valencia,32.1337054,-110.96342
3302A,Sunnyside - Records Mgmt,250 E Valencia,32.1337054,-110.96342
3303,Sunnyside - Storage,250 E Valencia,32.1337054,-110.96342
3304,Sunnyside - Storage,250 E Valencia,32.1337054,-110.96342
3305,Sunnyside - Storage,250 E Valencia,32.1337054,-110.96342
3306,Sunnyside - Arid Lands,250 E Valencia,32.1337054,-110.96342
3307,Sunnyside - Storage,250 E Valencia,32.1337054,-110.96342
3308,Sunnyside - Storage,250 E Valencia,32.1337054,-110.96342
3309,Sunnyside - Arid Lands,250 E Valencia,32.1337054,-110.96342
3309A,Sunnyside - Greenhouse,250 E Valencia,32.1337054,-110.96342
3309B,Sunnyside - Headhouse,250 E Valencia,32.1337054,-110.96342
3309C,Sunnyside - Storage,250 E Valencia,32.1337054,-110.96342
3309D,Sunnyside - Storage,250 E Valencia,32.1337054,-110.96342
3310,Sunnyside - Arid Lands,250 E Valencia,32.1337054,-110.96342
3310A,Sunnyside - Greenhouse Service,250 E Valencia,32.1337054,-110.96342
3310B,Sunnyside - Storage,250 E Valencia,32.1337054,-110.96342
3311,Sunnyside - Storage,250 E Valencia,32.1337054,-110.96342
3312,Sunnyside - Storage,250 E Valencia,32.1337054,-110.96342
3313,Sunnyside - Storage,250 E Valencia,32.1337054,-110.96342
3314,Sunnyside - Storage,250 E Valencia,32.1337054,-110.96342
3315B,Sunnyside - Garage,250 E Valencia,32.1337054,-110.96342
3400,Mt Graham Telescope,Mt Graham,32.2750449,-110.9265842
3401,Mt Graham Utility Building,Mt Graham,32.2750449,-110.9265842
3401A,Mt Graham Utility Building,Mt Graham,32.2750449,-110.9265842
3401B,Mt Graham UAPD Guardhouse,Mt Graham,32.2750449,-110.9265842
3402,Mt Graham Shop Building,1480 W State Route 366,32.2539787,-110.9741769
3403,Mt Graham Cable Reel Building,1480 W State Route 366,32.2539787,-110.9741769
3404,Mt Graham Obs-Laundry Bldg,1480 W State Route 366,32.2539787,-110.9741769
3405,Mt Graham Obs-Conference Bldg,1480 W State Route 366,32.2539787,-110.9741769
3406,Mt Graham Obs-UAPD Bldg,1480 W State Route 366,32.2539787,-110.9741769
3501,Santa Rita Experimental Range,27000 S Florida Canyon Rd,32.3167634,-110.8240711
3502,Santa Rita Experimental Range,27000 S Florida Canyon Rd,32.3167634,-110.8240711
3503,Santa Rita Experimental Range,27000 S Florida Canyon Rd,32.3167634,-110.8240711
3504,Santa Rita Experimental Range,27000 S Florida Canyon Rd,32.3167634,-110.8240711
3505,Santa Rita Experimental Range,27000 S Florida Canyon Rd,32.3167634,-110.8240711
3506,Santa Rita Experimental Range,27000 S Florida Canyon Rd,32.3167634,-110.8240711
3507,Santa Rita Experimental Range,27000 S Florida Canyon Rd,32.3167634,-110.8240711
3508,Santa Rita Experimental Range,27000 S Florida Canyon Rd,32.3167634,-110.8240711
3509,Santa Rita Experimental Range,27000 S Florida Canyon Rd,32.3167634,-110.8240711
3510,Santa Rita Experimental Range,27000 S Florida Canyon Rd,32.3167634,-110.8240711
3511,Santa Rita Experimental Range,27000 S Florida Canyon Rd,32.3167634,-110.8240711
3512,Santa Rita Experimental Range,27000 S Florida Canyon Rd,32.3167634,-110.8240711
3515,Santa Rita Experimental Range,27000 S Florida Canyon Rd,32.3167634,-110.8240711
3516,Santa Rita Experimental Range,27000 S Florida Canyon Rd,32.3167634,-110.8240711
3551,V BAR V - Office Trailer,4005 N Forest Road 618,32.2539787,-110.9741769
3552,V BAR V - Lab Trailer,4005 N Forest Road 618,32.2539787,-110.9741769
3553,V BAR V - Multi-Use,4005 N Forest Road 618,32.2539787,-110.9741769
3554,V BAR V - Residence A,4005 N Forest Road 618,32.2539787,-110.9741769
3555,V BAR V - Residence B,4005 N Forest Road 618,32.2539787,-110.9741769
3556,V BAR V - Ranch House,Hwy 487 &amp; Forest Rd 81,32.2539787,-110.9741769
3557,V BAR V - Cabin,Hwy 487 &amp; Forest Rd 81,32.2539787,-110.9741769
3558,V BAR V - Barn,Hwy 487 &amp; Forest Rd 81,32.2539787,-110.9741769
3559,V BAR V - Shop,Hwy 487 &amp; Forest Rd 81,32.2539787,-110.9741769
3560,Harold and Mitzie James 4-H Camp at Mingus Springs - Rec Hall,AZ-89 ALT &amp; NF-104,34.5451094,-112.4700879
3561,Harold and Mitzie James 4-H Camp at Mingus Springs - Navajo Bunk House,AZ-89 ALT &amp; NF-104,34.5451094,-112.4700879
3562,Harold and Mitzie James 4-H Camp at Mingus Springs - Apache Bunk House,AZ-89 ALT &amp; NF-104,34.5451094,-112.4700879
3563,Harold and Mitzie James 4-H Camp at Mingus Springs - Zuni Bunk House,AZ-89 ALT &amp; NF-104,34.5451094,-112.4700879
3564,Harold and Mitzie James 4-H Camp at Mingus Springs - Hohokam Office,AZ-89 ALT &amp; NF-104,34.5451094,-112.4700879
3565,Harold and Mitzie James 4-H Camp at Mingus Springs - Dining Hall,AZ-89 ALT &amp; NF-104,34.5451094,-112.4700879
3566,Harold and Mitzie James 4-H Camp at Mingus Springs - Anasazi Hlth Cott,AZ-89 ALT &amp; NF-104,34.5451094,-112.4700879
3567,Harold and Mitzie James 4-H Camp at Mingus Springs - Restrooms/Showers,AZ-89 ALT &amp; NF-104,34.5451094,-112.4700879
3568,Harold and Mitzie James 4-H Camp at Mingus Springs - Storage,AZ-89 ALT &amp; NF-104,34.5451094,-112.4700879
3569,Harold and Mitzie James 4-H Camp at Mingus Springs - Havasu Bunk House,AZ-89 ALT &amp; NF-104,34.5451094,-112.4700879
3570,Harold and Mitzie James 4-H Camp at Mingus Springs - Large Bunk House,AZ-89 ALT &amp; NF-104,34.5451094,-112.4700879
3571,Harold and Mitzie James 4-H Camp at Mingus Springs - Pump House,AZ-89 ALT &amp; NF-104,34.5451094,-112.4700879
3572,Harold and Mitzie James 4-H Camp at Mingus Springs - Power House,AZ-89 ALT &amp; NF-104,34.5451094,-112.4700879
3573,Harold and Mitzie James 4-H Camp at Mingus Springs - Cook&#39;s Cabin,AZ-89 ALT &amp; NF-104,34.5451094,-112.4700879
3601,Al-Marah - Office,4101 N Bear Canyon Rd,32.2803572,-110.8012145
3602,Al-Marah - Customer Barn,4101 N Bear Canyon Rd,32.2803572,-110.8012145
3603,Al-Marah - Pasture Residence,4101 N Bear Canyon Rd,32.2803572,-110.8012145
3604,Al-Marah - Main Residence,4101 N Bear Canyon Rd,32.2803572,-110.8012145
3604A,Al-Marah - Kennel,4101 N Bear Canyon Rd,32.2803572,-110.8012145
3604B,Al-Marah - Storage,4101 N Bear Canyon Rd,32.2803572,-110.8012145
3604C,Al-Marah - Restroom,4101 N Bear Canyon Rd,32.2803572,-110.8012145
3605,Al-Marah - Indoor Arena,4101 N Bear Canyon Rd,32.2803572,-110.8012145
3606,Al-Marah - NE Residence,4101 N Bear Canyon Rd,32.2803572,-110.8012145
3607,Al-Marah - Stud Barn,4101 N Bear Canyon Rd,32.2803572,-110.8012145
3608,Al-Marah - Hay Barn,4101 N Bear Canyon Rd,32.2803572,-110.8012145
3609,Al-Marah - Show Barn 14 Stall,4101 N Bear Canyon Rd,32.2803572,-110.8012145
3610,Al-Marah - Outdoor Arena,4101 N Bear Canyon Rd,32.2803572,-110.8012145
3611,Al-Marah - Show Barn 16 Stall,4101 N Bear Canyon Rd,32.2803572,-110.8012145
3612,Al-Marah - Caretaker Residence,4101 N Bear Canyon Rd,32.2803572,-110.8012145
3613,Al-Marah - South Residence,4101 N Bear Canyon Rd,32.2803572,-110.8012145
3651,Cracchiolo DK Ranch - Livestock Barn,225 S Merritt Ranch Rd,34.735278,-111.916582
3652,Cracchiolo DK Ranch - Horse Barn,225 S Merritt Ranch Rd,34.735278,-111.916582
3653,Cracchiolo DK Ranch - Meeting/Tack Room,225 S Merritt Ranch Rd,34.735278,-111.916582
3655,Cracchiolo DK Ranch - Guest House,225 S Merritt Ranch Rd,34.735278,-111.916582
3656,Cracchiolo DK Ranch - Main House,225 S Merritt Ranch Rd,34.735278,-111.916582
3657,Cracchiolo DK Ranch - Pump House,225 S Merritt Ranch Rd,34.735278,-111.916582
3701,The Bridges - Mission Integration Lab,2620 S Catalyst Dr,32.1896051,-110.9478737
3702,The Bridges - Refinery Building,1600 E Idea Ln,32.1867781,-110.9474809
4000,Biosphere 2,32540 S Biosphere Rd,32.5826236,-110.8425417
4000A,Biosphere 2 Ocean Viewing Gallery,32540 S Biosphere Rd,32.5826236,-110.8425417
4001,Biosphere 2 Planning Center,32540 S Biosphere Rd,32.5826236,-110.8425417
4001A,Biosphere 2 Planning Center Annex,32540 S Biosphere Rd,32.5826236,-110.8425417
4002,Biosphere 2 Faculty Building A,32540 S Biosphere Rd,32.5826236,-110.8425417
4005,Biosphere 2 Faculty Building D,32540 S Biosphere Rd,32.5826236,-110.8425417
4006,Biosphere 2 South Lung,32540 S Biosphere Rd,32.5826236,-110.8425417
4007,Biosphere 2 West Lung,32540 S Biosphere Rd,32.5826236,-110.8425417
4008,Biosphere 2 Energy Center,32540 S Biosphere Rd,32.5826236,-110.8425417
4009,Biosphere 2 Cooling Towers,32540 S Biosphere Rd,32.5826236,-110.8425417
4010,Biosphere 2 Analytical Lab,32540 S Biosphere Rd,32.5826236,-110.8425417
4030,Biosphere 2 Visitor Center,32540 S Biosphere Rd,32.5826236,-110.8425417
4031,Biosphere 2 Food Court,32540 S Biosphere Rd,32.5826236,-110.8425417
4032,Biosphere 2 Theater,32540 S Biosphere Rd,32.5826236,-110.8425417
4033,Biosphere 2 Residential A,32540 S Biosphere Rd,32.5826236,-110.8425417
4034,Biosphere 2 Residential B,32540 S Biosphere Rd,32.5826236,-110.8425417
4035,Biosphere 2 Residential C,32540 S Biosphere Rd,32.5826236,-110.8425417
4036,Biosphere 2 Residential D,32540 S Biosphere Rd,32.5826236,-110.8425417
4037,Biosphere 2 Residential E,32540 S Biosphere Rd,32.5826236,-110.8425417
4038,Biosphere 2 Residential F,32540 S Biosphere Rd,32.5826236,-110.8425417
4040,Biosphere 2 Residential G,32540 S Biosphere Rd,32.5826236,-110.8425417
4041,Biosphere 2 Residential H,32540 S Biosphere Rd,32.5826236,-110.8425417
4042,Biosphere 2 Residential J,32540 S Biosphere Rd,32.5826236,-110.8425417
4043,Biosphere 2 Residential K,32540 S Biosphere Rd,32.5826236,-110.8425417
4044,Biosphere 2 Residential L,32540 S Biosphere Rd,32.5826236,-110.8425417
4045,Biosphere 2 Residential M,32540 S Biosphere Rd,32.5826236,-110.8425417
4046,Biosphere 2 Residential N,32540 S Biosphere Rd,32.5826236,-110.8425417
4047,Biosphere 2 Residential P,32540 S Biosphere Rd,32.5826236,-110.8425417
4048,Biosphere 2 Residential Q,32540 S Biosphere Rd,32.5826236,-110.8425417
4065A,Biosphere 2 Observatory A,32540 S Biosphere Rd,32.5826236,-110.8425417
4065B,Biosphere 2 Observatory B,32540 S Biosphere Rd,32.5826236,-110.8425417
4065C,Biosphere 2 Observatory C,32540 S Biosphere Rd,32.5826236,-110.8425417
4065D,Biosphere 2 Observatory D,32540 S Biosphere Rd,32.5826236,-110.8425417
4065E,Biosphere 2 Observatory E,32540 S Biosphere Rd,32.5826236,-110.8425417
4102,University of Arizona - 55 Chandler,"55 N Arizona Place, Ste 310",33.3039554,-111.8404095
4103,Scottsdale Waterfront,7135 E Camelback Rd,32.1504917,-110.7799902
4104,University of Arizona - 1811 Chandler,1811 E Northrop Blvd,33.2799891,-111.8107927
4105,University of Arizona - 180 Chandler,"180 S Arizona Ave, Ste 301",32.2200933,-110.9680986
7002,TBD,2ND ST &amp; PARK AVE,32.2337768,-110.9567885
7003,Glendale Community College,6000 W Olive Avenue,32.2915307,-111.015631
7005,Mesa Community College (MCC),1833 W Southern Avenue,33.391791,-112.0974097
&nbsp;,Maricopa Agricultural Center,37860 W. Smith-Enke Road,33.073553,-111.9737187
&nbsp;,Maricopa Agricultural Center,37860 W. Smith-Enke Road,33.073553,-111.9737187
&nbsp;,University of Arizona South Campus,1140 N. Colombo Ave.,31.5668068,-110.2457598
&nbsp;,Tucson Mall parking lot,4500 N. Oracle Rd. Pad 09,32.2874806,-110.9736691
&nbsp;,U of A Tucson Agricultural Center,Campbell Farms East,32.2135057,-110.7854092
&nbsp;,&quot;ABOR ROW&quot;,N TYNDALL AVENUE,32.251647,-110.9580488
9040,UA Science and Tech Park,9040 S Rita Rd,32.0919287,-110.8089283
99001,Bta Main Bldg,37615 East Highway 60 Superior,33.2810919,-111.1699723
99003,1215 N. Beaver #201,1215 N Beaver St #201/Flgstf,35.2088907,-111.6457018
99005,Storage Shed,655 N. Alvernon,32.2301959,-110.9100088
99007,"Guthrie Peak/ Kuat Safford, AZ",32-39-01 North 109-50-53 West,32.333479,-110.9950835
99009,University Of Idaho-Aquaculture Research Station,3059 F National Fish Hatch Rd.,32.2539787,-110.9741769
99011,"Fermi Lab, Batavia, Il","Wilson &amp; Kirk Road, Po Box 500",32.2539787,-110.9741769
99012,White River Indian Reservation,"Po Box 860, State Rte 73, Milepost 342",33.8844911,-110.1813784
99014,"Keams Canyon, AZ",Hwy 264/ Keams Canyon Housing,32.2539787,-110.9741769
99015,Tuba City AZ,167 N Main St,32.2237688,-110.9757014
99017,Yuma County/ Ag Ext,"2200 W 28th Street, Suite 102",32.2005105,-110.986181
99018,Yavapai County/ Ag Ext Main Office,840 Rodeo Dr,32.1695998,-110.9616373
99019,Santa Cruz County/ Ag Ext,489 N Arroyo Blvd,32.2894683,-110.8438311
99020,Pinal County/Ag Ext,820 E Cottonwood Ln. Bldng C,32.894979,-111.742636
99021,Pima County/Ag Ext,"4210 N Campbell Tucson, Az",32.2824728,-110.9425493
99022,La Paz County/Ag Ext,"2524 Mutahar Parker, Az",34.1500162,-114.2891177
99023,Navajo County/ Ag Ext,"748 N. 3rd Street, Holbrook AZ 86025",34.9075404,-110.1549884
99024,Mohave County/ Ag Ext,101 E Beale St Suite A Kingman,35.1904265,-114.0574642
99025,Maricopa County/Ag Ext,"4341 E Broadway Rd. Phx, Az",33.4068913,-111.9876473
99027,Graham County/Ag Ext,"2100 S Bowie Solomon, Az",32.2539787,-110.9741769
99029,Gila County/Ag Ext,107 W Frontier St Bldg C Payson,34.2318149,-111.3251315
99030,Coconino County/Ag Ext,"2304 N 3rd St Flagstaff, Az",35.2110495,-111.6142648
99031,Cochise County/Ag Ext,"450 S Haskell Ave Wilcox, Az",32.2487339,-109.8353555
99032,Apache County/Ag Ext,"845 W 4th North St. John, Az",34.5126727,-109.3843672
99035,Usda Bee Research,2000 E Allen Rd Tucson 85719,32.2748225,-110.9415392
99036,855 W Bell Rd Nogales,855 W Bell Rd Nogales,31.3618322,-110.9485637
99037,Amado Base Camp,"670 Mt Hopkins Amado, Az 85645",31.6752309,-110.9519964
99038,Pima College,2202 W Anklam Rd Tucson 85709,32.2275173,-111.0166529
99041,Sage Memorial Hospital,Pobox 457 Hwy 264 &amp; Us 191,35.7467369,-109.8582053
99042,LBT Observatory Mt Graham,1480 W State Route 366,32.2539787,-110.9741769
99043,UPI Clinics,707 N Alvernon Tucson 85711,32.2310399,-110.910117
99045,Veterans Hospital,3601 S 6th Ave Tucson 85723,32.1798545,-110.965827
99046,AZ State Prison Yuma,7125 E Juan Sanchez Blvd,32.4906316,-114.7822313
99047,NAU Flagstaff,307 W Tormey Dr. Flag Az 86011,35.1924152,-111.6567522
99050,Avra Valley Test Site,11415 W Ajo Way Tcsn Az 85735,32.1778586,-110.9983998
99051,Mt Hopkins Whipple Observatory,"670 Mt Hopkins Rd Amado, Az",31.6752309,-110.9519964
99073,Vatican Telescope Mt Graham,12500 W Swift Trail,32.2539787,-110.9741769
99074,AZ Health Sciences Ctr/Leased,1501 N. Campbell Ave.,32.240413,-110.9466397
99075,National Optical Astronomy Observatory,950 North Cherry,32.2333507,-110.9473558
99076,Mirror Lab Storage Facility,250 E Valencia,32.1337054,-110.96342
99077,Trans-Genomics Research Building,"445 N. Fifth Street, Suite 600",32.2275487,-110.9671187
99078,2830 N Commonwealth Dr #103,2830 N Commonwealth Dr. #103,34.610614,-111.9185467
99079,840 Rodeo Dr Bldg C,"840 Rodeo Drive, Building C",32.1695998,-110.9616373
99080,Greenlee County/ Ag Ext,1684 Fairgrounds Rd Duncan 85534,32.7402167,-109.0985729
99082,Pinal County/ Ag Ext Satellite Office,"615 W. Cottonwood Lane, Suite 8, Casa Grande",32.893673,-111.762298
99083,Hand Clinic,"3055 N Campbell Ave., Suite 113",32.2623753,-110.9443929
99084,Gila County-Globe/AG EXT,5515 S Apache Ave,32.2539787,-110.9741769
99085,Banner UMC-Sierra Vista,"3533 Canyon de Flores, Suite C",31.5047467,-110.2558319
99087,Banner University-South,2800 E Ajo Way,32.1763278,-110.9299511